id,start_date,start_time,_type,end_date,end_time,primary_organizer_id,primary_organizer.name,name,summary,primary_venue.name,primary_venue.address.longitude,primary_venue.address.latitude,primary_venue.address.localized_address_display
158158457203,2022-06-30,17:30,destination_event,2022-06-30,18:30,28092223615,Cass County IN Democrats ,Drinking Liberally:  A Social Hour for the Socially Conscious,"Open to all ages. Stop in and join us for conversation, arcades, and a beverage. Casual and inclusive. Beer, wine, and nonalcoholic options.",422 E Broadway,-86.3648655,40.75442839999999,"422 East Broadway, Logansport, IN 46947"
156816513413,2022-06-09,12:00,destination_event,2022-06-12,17:00,13456022395,Steve Hannon,Geek Out 2022,The Nation's Only Music Festival & Pop Culture Convention Experience,Hannon's Camp America,-84.78522599999997,39.5897858,"8501 Camden College Corner Road, College Corner, OH 45003"
148763757403,2022-05-28,12:00,destination_event,2022-05-29,19:00,11200802594,Hippie Fest,"Hippie Fest - Sullivan, IN",Hippie Fest is a grassroots festival featuring vibrant entertainment for all ages. It's groovy baby!,Thunder Valley Entertainment,-87.290303,39.0907303,"6741 East County Road 50 North, Sullivan, IN 47882"
133859759143,2022-05-12,12:00,destination_event,2022-05-15,12:00,17578788144,LIVEstock Music Festival,LIVEstock Music Festival,"Celebration of Life, Love, and Music",Black Swan Lake,-86.2010576,38.8955997,"8705 W. County Rd. 150 N., Medora, IN 47260"
154596202403,2022-07-01,17:00,destination_event,2022-07-02,20:00,29594083555,Maria Flaherty,Lewisburg Comic Con,Comic-Con event in Lewisburg Ohio.,Lewisburg,-84.5411189,39.8463453,"Joy and Whimsy Depot and Community Center, Lewisburg, OH 45338"
170385190692,2022-06-11,15:00,destination_event,2022-06-11,17:00,31785595501,"Nu Phi Chapter - Gamma Phi Delta Sorority, Inc.","Gamma Phi Delta Sorority, Inc. - Nu Phi Chapter Youth Auxiliary",Are you running out of safe activities to do with  your child on the weekend?,North Central Public Library,-84.56498409999999,39.2813396,"11109 Hamilton Avenue, Cincinnati, OH 45231"
168673397673,2022-05-21,09:00,destination_event,2022-05-22,17:00,122914420,FPF Training,"Street Encounter Skills and Tactics, Cincinnati, OH","To be successful and effective in their own self-defense, citizens need a wide variety of skills beyond just shooting.",Ziegler Firearms,-84.5539684,39.29636170000001,"11680 Dutchess Lane, Cincinnati, OH 45240"
167095722805,2022-06-03,11:00,destination_event,2022-06-03,14:00,30068395660,JobsOffice.org,#DiversityHire Virtual Job Fair / Career Expo #Diversity Event#Indianapolis,Attend World's Largest Virtual Job Expo / Career Fair #Diversity Drive #Indianapolis at https://wertual.tao.ai/pod/diversityhire/jobfair,Indianapolis ,-86.158068,39.768403,"Virtual Event Only, Indianapolis , IN 46204"
169213639551,2022-05-17,18:00,destination_event,2022-05-17,19:30,30281646036,k smith,Conquer Your Fear of Public Speaking -Indianapolis -Online Free Trial Class,"Overcome public speaking fear with gradual exposure, in a supportive environment. Observe a free trial to see if it's right for you.",Indianapolis,-86.27987309999999,39.7360227,"Indianapolis, Indianapolis, IN 46204"
170045900867,2022-05-16,20:00,destination_event,2022-05-16,20:30,32741043143,Jean Renae Harris,Become a Home-Based Travel Advisor - NO EXPERIENCE NECESSARY (INDIANAPOLIS),Let Your Passion Produce Paychecks and Generational Wealth!!!,HOMEWOOD SUITES BY HILTON INDIANAPOLIS NW,-86.2314954,39.922868,"4140 West 94th Street, Indianapolis, IN 46268"
163893767671,2022-05-18,11:00,destination_event,2022-05-18,12:00,31247541303,Lakshman Singh,"Sales, Marketing, Customer Acquisition & Retention Strategies for Startup","Join This Sales, Marketing, Customer Acquisition & Retention Strategies Program for Startup Business Today !",Indianapolis,-86.158068,39.768403,"Online (Virtual), Indianapolis, IN 46077"
149027416013,2022-05-21,12:00,destination_event,2022-05-21,13:00,31226845439,Lakshman Singh,Startups Fund Raising Program,Join This Startup Business Fund Raising Event Today !,Indianapolis,-86.1700894,39.7794767,"Virtual (Online), Indianapolis, IN 46202"
190314504807,2022-05-30,09:00,destination_event,2022-05-30,17:00,12695726318,Mangates,"Emotional Intelligence 1 Day Training in Indianapolis, IN",Our classroom training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,"Regus - Indiana, Indianapolis - The Precedent",-86.1009742,39.9249343,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240"
167016624219,2022-06-03,11:00,destination_event,2022-06-03,14:00,30068395660,JobsOffice.org,#ProjectCovid Virtual Job Fair / Career Expo Event #Indianapolis,Attend World's Largest Virtual Job Expo / Career Fair #Covid19 impacted workforce #Indianapolisat https://projectcovid.org/we/jobfair,Indianapolis,-86.158068,39.768403,"Virtual Event Only, Indianapolis, IN 46204"
